PostId,OpenStatus
2,open
4,open
8,not a real question
10,open
11,not a real question
13,off topic
16,not a real question
20,not a real question
21,off topic
23,not a real question
26,not a real question
28,open
32,not a real question
34,open
35,open
37,open
39,open
40,open
43,not a real question
46,not a real question
47,open
51,off topic
52,open
53,open
60,not a real question
61,off topic
64,open
65,open
67,open
69,open
72,open
73,open
74,not a real question
78,off topic
79,not a real question
80,open
82,not a real question
83,open
84,open
88,open
90,open
95,open
98,open
99,not a real question
100,open
101,not a real question
102,open
103,open
106,not a real question
107,not a real question
108,not constructive
109,not a real question
111,not a real question
115,open
118,open
119,not a real question
121,open
122,open
128,not constructive
130,open
131,not a real question
135,open
141,not a real question
145,off topic
150,open
152,open
153,not a real question
154,open
156,not a real question
158,open
159,open
166,open
169,not a real question
170,open
177,open
182,open
183,open
188,open
189,open
190,not a real question
191,open
193,off topic
194,not constructive
195,open
197,not constructive
199,open
202,open
203,not a real question
206,open
209,open
210,open
212,not constructive
218,not a real question
220,open
222,open
223,not constructive
225,not constructive
227,not a real question
228,not a real question
231,not a real question
232,not a real question
236,open
239,not constructive
241,not a real question
242,not a real question
245,not a real question
246,open
249,open
250,open
252,open
253,open
254,off topic
258,open
260,not a real question
261,open
266,not a real question
267,open
268,off topic
273,open
276,open
278,not constructive
282,open
286,open
288,open
289,not a real question
291,not a real question
292,open
293,open
295,not constructive
296,not a real question
297,open
301,open
302,open
303,open
309,off topic
310,not constructive
311,not a real question
312,open
318,open
321,open
323,open
327,not constructive
328,open
339,open
343,open
345,off topic
347,open
357,open
365,open
366,open
372,not constructive
373,open
376,open
378,off topic
385,not a real question
391,open
393,not a real question
396,open
398,open
400,open
403,not constructive
405,not a real question
409,not a real question
416,off topic
417,not constructive
418,open
420,open
423,not constructive
439,off topic
441,open
442,open
443,open
446,open
448,not a real question
451,not a real question
452,open
454,not a real question
455,not a real question
461,open
462,open
467,not a real question
468,off topic
470,open
471,not constructive
473,off topic
476,open
482,open
488,open
495,open
496,open
497,open
498,off topic
501,not a real question
505,off topic
508,not a real question
511,not a real question
516,open
522,open
523,not constructive
525,off topic
528,open
531,open
534,off topic
536,open
537,open
540,not a real question
542,not constructive
543,open
544,not a real question
546,open
548,not a real question
550,open
551,open
556,open
557,not a real question
558,open
559,open
562,open
566,not constructive
568,not a real question
569,not constructive
571,open
573,open
576,open
577,open
580,open
581,open
582,not a real question
584,off topic
592,open
598,open
602,open
603,not a real question
604,not a real question
606,off topic
608,open
611,not a real question
613,open
614,not constructive
619,open
621,open
625,open
626,open
630,not a real question
632,not a real question
634,open
637,open
639,not a real question
640,open
642,not a real question
644,open
645,open
646,open
648,open
649,open
650,not a real question
657,open
659,not a real question
663,not a real question
664,open
665,not a real question
668,not a real question
670,open
673,not constructive
675,open
679,off topic
681,open
683,not constructive
687,off topic
688,not a real question
689,not a real question
690,open
693,not a real question
695,not constructive
697,open
698,open
699,not a real question
701,open
709,not a real question
711,off topic
714,open
715,open
716,open
722,open
728,open
730,off topic
734,open
735,not a real question
740,not a real question
746,not constructive
747,open
748,open
750,open
751,off topic
753,open
754,open
760,open
761,not a real question
762,open
763,not constructive
764,not constructive
766,not constructive
767,not constructive
769,open
772,open
777,not a real question
779,not constructive
780,not constructive
781,open
782,not a real question
784,open
790,not a real question
793,open
797,open
798,open
802,off topic
806,open
809,open
812,open
819,open
822,not constructive
825,not a real question
826,open
827,not constructive
843,not a real question
844,open
845,open
852,open
855,open
856,not constructive
857,off topic
860,open
865,not a real question
869,not constructive
871,off topic
872,off topic
874,open
877,open
880,not a real question
883,open
889,open
890,open
893,not a real question
900,open
901,open
902,open
904,open
906,not a real question
908,not a real question
910,open
915,off topic
916,off topic
920,open
921,open
923,not constructive
926,open
935,not a real question
937,open
938,not a real question
939,open
941,not constructive
942,open
943,open
944,open
945,not a real question
954,off topic
955,open
956,not a real question
957,not constructive
959,open
962,open
964,off topic
965,not a real question
966,open
972,open
975,not constructive
977,open
978,open
983,open
986,off topic
987,open
993,not constructive
995,open
996,open
998,not a real question
999,open
1000,open
1006,not a real question
1007,not a real question
1008,not constructive
1010,open
1013,off topic
1014,open
1017,open
1020,open
1022,not constructive
1024,not a real question
1026,open
1028,open
1030,not constructive
1032,not a real question
1033,not a real question
1038,open
1039,not a real question
1040,open
1043,not a real question
1044,not constructive
1045,open
1051,not constructive
1052,open
1053,open
1054,open
1058,not a real question
1060,open
1061,open
1063,open
1064,not a real question
1065,off topic
1066,open
1067,not a real question
1068,not a real question
1069,open
1070,open
1073,open
1074,not a real question
1077,open
1078,open
1079,open
1082,open
1086,not a real question
1091,open
1096,open
1097,open
1098,open
1099,not a real question
1100,open
1101,open
1103,open
1106,not a real question
1107,open
1108,open
1112,off topic
1115,open
1118,open
1120,open
1121,open
1126,open
1127,open
1130,off topic
1134,not constructive
1135,not a real question
1137,open
1139,not a real question
1140,not a real question
1144,not a real question
1157,open
1163,not a real question
1165,open
1169,open
1170,not a real question
1173,not a real question
1174,open
1177,not a real question
1178,off topic
1181,open
1185,open
1187,not a real question
1188,off topic
1189,not a real question
1191,open
1193,off topic
1194,open
1195,open
1198,open
1204,not constructive
1205,not a real question
1206,open
1207,open
1208,open
1214,not a real question
1220,off topic
1222,not a real question
1223,open
1224,open
1228,not a real question
1235,off topic
1241,off topic
1245,not a real question
1247,open
1248,open
1251,open
1253,open
1254,open
1255,open
1260,off topic
1265,not a real question
1267,open
1268,off topic
1269,open
1273,off topic
1275,not a real question
1280,open
1281,not a real question
1282,not a real question
1283,not a real question
1284,open
1286,open
1287,open
1288,not constructive
1290,open
1292,open
1294,open
1297,open
1299,not a real question
1300,open
1301,not a real question
1303,open
1309,off topic
1310,open
1311,open
1312,open
1313,open
1314,open
1320,not a real question
1321,open
1323,off topic
1324,open
1325,open
1328,not a real question
1332,open
1333,open
1335,open
1336,open
1337,not a real question
1339,not constructive
1344,not a real question
1354,not a real question
1357,open
1358,not constructive
1364,not a real question
1367,open
1369,open
1371,open
1372,off topic
1374,not a real question
1375,not constructive
1376,open
1377,open
1383,open
1386,off topic
1388,open
1395,not a real question
1396,open
1403,open
1405,open
1408,open
1410,open
1415,open
1416,open
1417,not a real question
1419,open
1425,open
1428,not a real question
1429,open
1430,open
1437,not a real question
1439,not a real question
1444,open
1446,open
1449,off topic
1450,not constructive
1451,off topic
1452,open
1455,open
1468,off topic
1469,open
1470,not a real question
1473,open
1476,off topic
1477,not a real question
1478,not constructive
1479,not a real question
1481,not a real question
1485,open
1492,open
1494,open
1496,open
1499,open
1500,open
1501,open
1503,open
1504,not constructive
1505,open
1507,open
1509,not a real question
1510,off topic
1511,open
1513,not a real question
1514,not a real question
1516,open
1518,open
1521,off topic
1524,open
1525,open
1528,not constructive
1529,open
1530,off topic
1531,open
1532,open
1534,not constructive
1538,not a real question
1539,open
1542,not a real question
1545,open
1547,open
1548,open
1549,not a real question
1553,open
1554,open
1555,not a real question
1556,not a real question
1558,not a real question
1559,off topic
1560,open
1562,not a real question
1564,not a real question
1569,open
1575,open
1576,not a real question
1581,open
1586,open
1590,open
1591,open
1592,not constructive
1595,open
1599,off topic
1602,open
1605,open
1606,open
1608,open
1610,not a real question
1614,off topic
1615,open
1616,not a real question
1619,off topic
1620,open
1621,not a real question
1622,not a real question
1625,not a real question
1628,open
1629,off topic
1631,open
1635,not a real question
1637,open
1638,open
1641,open
1643,open
1647,not a real question
1653,open
1655,open
1656,off topic
1658,not constructive
1660,open
1661,open
1662,open
1663,not a real question
1668,off topic
1670,open
1682,open
1686,open
1687,not a real question
1693,not a real question
1696,not a real question
1700,open
1705,open
1707,not a real question
1715,not constructive
1717,not a real question
1718,not constructive
1719,open
1722,open
1726,open
1728,open
1736,open
1738,open
1739,off topic
1740,off topic
1741,open
1745,not a real question
1746,off topic
1748,open
1749,not a real question
1750,not a real question
1752,open
1756,open
1762,not a real question
1763,off topic
1766,off topic
1768,open
1773,off topic
1776,open
1784,open
1785,off topic
1788,off topic
1789,open
1790,not constructive
1791,not a real question
1792,open
1793,open
1794,open
1798,open
1799,not constructive
1801,open
1804,off topic
1805,not constructive
1811,open
1814,not a real question
1815,open
1816,not a real question
1822,not constructive
1824,not a real question
1827,open
1829,open
1831,open
1832,not a real question
1833,not constructive
1834,not constructive
1835,off topic
1836,open
1837,not constructive
1840,not a real question
1842,open
1844,not constructive
1847,not a real question
1848,not a real question
1849,not a real question
1851,open
1852,not a real question
1854,open
1856,not a real question
1857,off topic
1858,open
1862,not a real question
1863,not a real question
1871,not a real question
1872,open
1873,off topic
1877,not a real question
1878,not a real question
1881,not a real question
1885,not a real question
1891,not a real question
1892,open
1895,not a real question
1896,open
1899,open
1902,not a real question
1904,off topic
1909,open
1914,open
1917,not constructive
1918,open
1921,not a real question
1922,open
1927,open
1928,not a real question
1930,open
1936,open
1937,open
1942,not a real question
1945,not constructive
1948,open
1953,open
1957,open
1958,open
1961,open
1964,open
1966,open
1970,not a real question
1974,open
1976,not constructive
1977,not a real question
1979,off topic
1980,open
1982,open
1983,open
1984,open
1985,not a real question
1989,off topic
1990,open
1995,off topic
1999,not a real question
2010,open
2011,open
2013,not a real question
2014,not constructive
2016,not constructive
2018,not a real question
2019,not a real question
2023,not a real question
2024,open
2026,open
2027,open
2029,not constructive
2036,off topic
2039,not constructive
2043,not a real question
2044,not a real question
2048,open
2050,not constructive
2053,not a real question
2054,off topic
2056,open
2058,off topic
2062,not a real question
2063,open
2065,open
2067,open
2068,not a real question
2070,not a real question
2072,open
2073,not a real question
2077,open
2079,not a real question
2085,open
2094,open
2095,not a real question
2096,open
2100,open
2101,open
2103,open
2104,open
2105,not constructive
2113,not constructive
2117,open
2118,off topic
2119,open
2120,not a real question
2123,open
2126,open
2127,open
2130,off topic
2138,open
2142,not a real question
2143,not a real question
2145,not a real question
2148,open
2151,off topic
2153,open
2154,not a real question
2156,open
2158,not a real question
2160,not constructive
2162,open
2166,open
2169,not a real question
2172,not a real question
2173,not a real question
2176,open
2177,off topic
2182,not a real question
2184,open
2187,not constructive
2190,open
2202,open
2213,not a real question
2217,open
2225,open
2228,open
2233,open
2235,open
2238,open
2239,not a real question
2240,open
2243,off topic
2245,open
2249,not a real question
2251,not constructive
2253,open
2261,not a real question
2262,open
2267,open
2274,open
2277,off topic
2281,off topic
2282,open
2283,open
2286,off topic
2288,open
2289,off topic
2290,open
2295,open
2296,open
2303,open
2306,not a real question
2316,not a real question
2317,not constructive
2321,open
2324,open
2328,open
2329,open
2332,open
2333,open
2337,open
2338,open
2340,not a real question
2341,open
2343,open
2344,open
2345,not a real question
2347,open
2351,open
2355,open
2357,open
2364,off topic
2370,not a real question
2374,not a real question
2376,open
2381,not constructive
2383,open
2385,not constructive
2388,open
2390,open
2403,not a real question
2408,open
2411,open
2414,open
2416,not constructive
2422,open
2423,not a real question
2424,not a real question
2428,open
2430,not constructive
2431,not a real question
2433,not constructive
2435,open
2438,open
2441,open
2443,open
2444,not a real question
2447,not a real question
2452,off topic
2454,open
2455,not a real question
2460,open
2462,open
2464,open
2466,open
2468,open
2469,not a real question
2470,not a real question
2472,not a real question
2473,not constructive
2476,open
2477,open
2478,open
2482,not a real question
2483,open
2485,not constructive
2486,open
2488,open
2496,open
2497,not a real question
2501,open
2504,not a real question
2505,open
2507,open
2509,not constructive
2510,not a real question
2515,open
2517,open
2518,not a real question
2521,open
2522,not a real question
2523,not a real question
2531,open
2535,not a real question
2537,off topic
2538,not a real question
2540,open
2542,off topic
2543,open
2544,not a real question
2545,off topic
2551,open
2552,open
2554,not a real question
2555,open
2558,not constructive
2559,open
2560,open
2561,open
2563,open
2571,not constructive
2572,open
2574,open
2577,not constructive
2578,not constructive
2581,open
2582,open
2583,open
2585,not a real question
2586,open
2588,open
2589,open
2595,not a real question
2596,open
2598,open
2600,open
2601,open
2602,open
2603,not a real question
2604,not a real question
2608,off topic
2609,open
2616,open
2620,not a real question
2627,not constructive
2632,open
2636,open
2643,not a real question
2644,not constructive
2645,open
2647,open
2648,open
2652,not a real question
2656,open
2657,not a real question
2659,not a real question
2660,open
2661,open
2663,open
2664,not constructive
2670,not constructive
2671,not constructive
2680,open
2681,open
2682,open
2690,open
2691,open
2692,open
2696,open
2697,open
2698,off topic
2704,not constructive
2715,open
2718,open
2719,not a real question
2720,not a real question
2721,open
2722,not a real question
2723,open
2725,off topic
2726,not a real question
2727,not a real question
2728,not a real question
2731,not a real question
2733,open
2734,not a real question
2737,open
2743,off topic
2746,off topic
2751,open
2754,open
2757,not constructive
2763,off topic
2765,not a real question
2767,open
2769,open
2771,open
2776,not a real question
2782,open
2785,not a real question
2787,off topic
2792,open
2795,not a real question
2796,open
2798,open
2802,open
2804,open
2807,open
2811,open
2812,not a real question
2813,open
2816,open
2819,open
2823,not a real question
2825,not a real question
2827,open
2835,open
2838,not a real question
2842,open
2843,not constructive
2845,not a real question
2848,open
2849,not constructive
2850,open
2854,open
2855,not constructive
2857,open
2858,open
2859,open
2861,open
2862,open
2864,open
2866,off topic
2867,not a real question
2870,open
2872,open
2877,open
2880,open
2881,open
2884,not a real question
2887,not a real question
2888,open
2889,open
2891,open
2894,not constructive
2896,not a real question
2898,open
2899,open
2900,not a real question
2902,not a real question
2903,open
2904,not a real question
2907,not constructive
2910,not a real question
2914,open
2915,open
2916,not a real question
2917,open
2922,open
2923,off topic
2928,open
2929,off topic
2930,not a real question
2932,open
2935,not a real question
2943,open
2944,open
2952,open
2961,open
2962,open
2963,not a real question
2965,open
2972,open
2976,open
2977,open
2980,not a real question
2982,open
2983,open
2984,not a real question
2986,not a real question
2987,off topic
3003,not a real question
3005,off topic
3006,open
3007,open
3008,not a real question
3014,open
3015,open
3021,not a real question
3026,off topic
3029,not a real question
3031,open
3036,open
3038,open
3040,open
3041,open
3042,open
3044,open
3050,open
3051,open
3056,off topic
3058,open
3059,not a real question
3060,open
3061,not a real question
3064,open
3071,open
3072,not constructive
3073,not a real question
3075,open
3084,open
3094,open
3100,open
3104,open
3107,not a real question
3108,not a real question
3110,not a real question
3111,open
3113,off topic
3114,open
3115,open
3117,not a real question
3118,not a real question
3120,open
3121,open
3122,not a real question
3125,open
3130,open
3139,not a real question
3141,not constructive
3145,open
3147,off topic
3148,not a real question
3149,off topic
3154,not constructive
3159,not a real question
3162,open
3165,off topic
3172,open
3174,off topic
3175,open
3176,open
3177,open
3185,not a real question
3186,not a real question
3187,not a real question
3193,open
3194,open
3195,open
3196,open
3198,not a real question
3202,off topic
3203,not a real question
3204,not a real question
3208,not a real question
3210,open
3211,not constructive
3212,not constructive
3218,open
3222,open
3223,not a real question
3226,open
3228,not a real question
3229,open
3230,open
3235,not a real question
3238,open
3243,open
3245,open
3246,not a real question
3248,off topic
3252,not a real question
3260,open
3262,open
3263,off topic
3264,open
3267,open
3270,open
3272,not constructive
3279,open
3288,not a real question
3290,not a real question
3292,open
3299,open
3303,not constructive
3306,open
3310,not a real question
3311,open
3313,not a real question
3314,open
3317,not constructive
3319,open
3324,open
3325,not a real question
3327,not a real question
3330,open
3333,open
3334,open
3343,not a real question
3344,open
3346,open
3348,not a real question
3349,open
3352,open
3353,not a real question
3355,not a real question
3357,open
3362,open
3363,open
3366,off topic
3367,open
3371,open
3372,not a real question
3376,off topic
3378,open
3379,open
3380,not constructive
3382,open
3386,open
3387,open
3388,open
3395,open
3396,open
3400,off topic
3408,not constructive
3410,open
3412,open
3414,open
3415,open
3417,open
3418,not a real question
3422,open
3427,open
3433,off topic
3434,open
3435,off topic
3441,open
3442,open
3445,open
3448,open
3451,not a real question
3452,open
3453,open
3454,not a real question
3455,open
3464,open
3469,open
3470,not constructive
3471,off topic
3472,not a real question
3477,off topic
3481,not a real question
3483,not a real question
3485,not a real question
3489,not a real question
3490,open
3493,open
3494,open
3496,off topic
3500,open
3502,off topic
3505,not a real question
3508,not constructive
3509,open
3514,open
3515,not a real question
3518,not a real question
3521,open
3522,open
3528,not constructive
3529,open
3530,open
3533,off topic
3534,open
3536,not a real question
3541,open
3543,not a real question
3544,open
3545,open
3547,off topic
3549,open
3550,not constructive
3561,open
3563,open
3565,open
3569,off topic
3570,not a real question
3573,open
3575,open
3582,open
3585,open
3589,open
3592,open
3596,open
3597,not a real question
3603,not a real question
3608,open
3610,not a real question
3611,off topic
3612,open
3613,not a real question
3615,not a real question
3617,open
3625,not a real question
3627,open
3628,off topic
3630,open
3631,open
3632,open
3638,open
3639,open
3643,open
3644,open
3645,not a real question
3649,open
3652,not a real question
3654,open
3655,open
3658,open
3659,not constructive
3661,open
3663,open
3670,open
3671,off topic
3674,open
3675,open
3676,not a real question
3678,not a real question
3685,open
3686,open
3687,open
3689,open
3692,open
3694,open
3695,not a real question
3697,not a real question
3699,not a real question
3703,open
3705,open
3714,open
3715,not a real question
3716,not constructive
3719,open
3720,not a real question
3724,off topic
3726,open
3727,open
3729,open
3731,not a real question
3733,open
3736,open
3739,open
3744,not constructive
3746,open
3753,open
3755,not a real question
